Type,Keyword,Description
artist,by Ken Fairclough,"digital artist, paint future buildings, using lots of light and dark in his work"
artist,by Kent Monkman,"oil painter, paint lots of people in his work"
artist,by Kevin Gnutzmans,"digital artist, paint cartoon landscape, using lots of light and dark in his work"
artist,by Laurie Greasley,"digital artist, paint people, using lots of colors in his work"
artist,by Liang Mark,"digital artist, paint landscape and cityscape"
artist,by Lois van Baarle,"digital artist, paint people, most girl"
artist,by Lorenz Hideyoshi,"digital artist, paint Cyberpunk cityscape"
artist,by Makoto Shinkai,"manga artist, paint anime girl, often see sky in his work"
artist,by Marc Simonetti,"digital artist, paint landscape and buildings, often using one highlight in his work"
artist,by Michal Lisowski,"digital artist, paint cityscape, sometimes use oil painting skill in his work"
artist,by Michelangelo Buonarroti,"oil painter, paint people, often paint naked people"
artist,by Nikolina Petolas,"digital artist, paint animals, transform visual elements into complex photomontages"
artist,by Noah Bradley,"digital artist, paint fantasy landscape and people"
artist,by Olivier Bonhomme,"digital artist, paint people, using lots of red in his work"
artist,by Osamu Tezuka,"manga artist, paint anime boy"
artist,by Paolo Veronese,"oil painter, paint people and building, there are often lots of people in his work"
artist,by Pascale Campion,"digital artist, paint people in landscape or cityscape, good at controlling the light and dark"
artist,by Quint Buchholz,"oil painter, paint sea or sky, using lots of blue in his work "
artist,by Raffaello Sanizo,"oil painter, paint people, often paint lots of people in one place"
artist,by Raja Ravi Varma,"oil painter,  paint India woman a lot, using lots of yellow in his work"
artist,by Raphael Lacoste,"digital artist, paint landscape and cityscape"
artist,by Raymond Swanland,"digital artist, paint most dragons and other fantasy creatures"
artist,by Reginald Marsh,"painted in egg tempera and in oils, often paint lots of people"
artist,by Samuel Earp,"oil painter, paint landscape, often paint river, mountain, or sea"
artist,by Sangyeob Park,"digital artist, paint fantasy scenes, using lots of light and shadow"
artist,by Shaddy Safadi,"digital artist, paint landscape and people, often paint mountain with sea"
artist,by Sparth,"digital artist, paint Cyberpunk cityscape, using many highlights"
artist,by Steve Argyle,"digital artist, paint people, often paint woman"
artist,by Seb Mckinnon,"oil painter, paint fantasy creatures, using lots of dark color"
artist,by Silvestro Lega,"oil painter, paint people and landscape, art style is  realist "
artist,by Terry Redlin,"oil painter, painting outdoor themes and wildlife, often pictured in twilight"
artist,by Ul Di Rico,"oil painter, paint fantasy scenes, using many colors"
artist,by Wadim Kashin,"digital artist, paint cyberpunk cityscape and landscape"
artist,by Viktor Vasnetsov,"oil painter, specialized in mythological and historical subjects"
artist,by Vittorio Matteo Corcos,"oil painter, known for his portraits, many of his genre works depict winsome and finely dressed young men and women, in moments of repose and recreation."
artist,by Viktoria Gavrilenko,"digital artist, paint woman, using lots of bright color"
artist,by Vincent Di Fate,"oil painter, specializing in science fiction, fantasy and realistic space art illustration"
artist,by Victor Adame Minguez,"digital artist, paint people and animals"
artist,by Worthington Whittredge,"oil painter, excelled at landscape painting, often paint forest"
artist,by Winslow Homer,"oil painter, landscape painter and printmaker, best known for his marine subjects"
artist,by William Henry Hunt,"oil painter, his work is often naturalistic still lifes of fruit, flowers, and birds' nests"
artist,by Walter Langley,"oil painter,  was noted for his social realist portrayals of working class figures, particularly fishermen and their families"
artist,by Yohann Schepacz,"digital artist, paint landscape and fantasy creatures such as cat man"
artist,by Yanjun Cheng,"digital artist, paint people, using lots of pink"
artist,by Yoji Shinkawa,"digital artist, paint people, using simple lines and color to paint characters"
artist,by Zeen Chin,"digital artist, paint girl in Japanese or Chinese style"
artist,by Zinaida Serebriakova,"oil painter, paint woman portraits"
artist,by Thomas Allom,"oil painter, often paint landscape and buildings next to river"
artist,by Tyler edlin,"digital artist, paint landscape and buildings such as castles or temples"
artist,by Tuomas Korpi,"digital artist, paint landscape, often using yellow light as major light"
artist,by Tomasz Alen Kopera,"oil painter, his paintings are dark and mysterious"
artist,by Tom Roberts,"oil painter, paint people in nature"
artist,by Victoria Crowe,"oil painter, known for her portrait and landscape paintings, often use blue in her work"
artist,by Willem van Haecht,"oil painter, paint people in a room with pictures of art galleries and collections around"
artist,by Walter Kim,"digital artist, paint cars"
